zip,type,primary_city,state,county,timezone,area_codes,latitude,longitude,irs_estimated_population
98115,STANDARD,Seattle,WA,King County,America/Los_Angeles,206,47.68,-122.28,49290
98116,STANDARD,Seattle,WA,King County,America/Los_Angeles,206,47.57,-122.4,25310
98117,STANDARD,Seattle,WA,King County,America/Los_Angeles,206,47.68,-122.38,33220
98118,STANDARD,Seattle,WA,King County,America/Los_Angeles,206,47.54,-122.27,44280
98119,STANDARD,Seattle,WA,King County,America/Los_Angeles,206,47.63,-122.37,20320
98121,STANDARD,Seattle,WA,King County,America/Los_Angeles,"206,360,425",47.62,-122.35,15100
98122,STANDARD,Seattle,WA,King County,America/Los_Angeles,206,47.61,-122.3,31210
98125,STANDARD,Seattle,WA,King County,America/Los_Angeles,206,47.71,-122.3,35970
98126,STANDARD,Seattle,WA,King County,America/Los_Angeles,206,47.55,-122.37,20510
98131,STANDARD,Seattle,WA,King County,America/Los_Angeles,206,47.46,-122.29,0
98132,STANDARD,Seattle,WA,King County,America/Los_Angeles,206,47.46,-122.29,0
98133,STANDARD,Seattle,WA,King County,America/Los_Angeles,"206,425",47.73,-122.34,42350
98134,STANDARD,Seattle,WA,King County,America/Los_Angeles,206,47.57,-122.33,640
98136,STANDARD,Seattle,WA,King County,America/Los_Angeles,206,47.53,-122.39,15140
98144,STANDARD,Seattle,WA,King County,America/Los_Angeles,206,47.58,-122.3,26650
98146,STANDARD,Seattle,WA,King County,America/Los_Angeles,"253,206",47.49,-122.36,25840
98148,STANDARD,Seattle,WA,King County,America/Los_Angeles,"206,253",47.44,-122.32,10020
98154,STANDARD,Seattle,WA,King County,America/Los_Angeles,"425,206,253,360",47.61,-122.33,33
98155,STANDARD,Seattle,WA,King County,America/Los_Angeles,"206,425",47.75,-122.29,32860
98158,STANDARD,Seattle,WA,King County,America/Los_Angeles,206,47.44,-122.31,0
98161,STANDARD,Seattle,WA,King County,America/Los_Angeles,"206,425",47.6,-122.33,0
98164,STANDARD,Seattle,WA,King County,America/Los_Angeles,"206,425",47.61,-122.33,140
98166,STANDARD,Seattle,WA,King County,America/Los_Angeles,"253,206",47.44,-122.35,20380
98168,STANDARD,Seattle,WA,King County,America/Los_Angeles,"253,425,206",47.48,-122.29,33620
98171,STANDARD,Seattle,WA,King County,America/Los_Angeles,206,47.6,-122.33,0
98174,STANDARD,Seattle,WA,King County,America/Los_Angeles,"206,425",47.6,-122.34,0
98177,STANDARD,Seattle,WA,King County,America/Los_Angeles,"425,206",47.73,-122.37,19940
98178,STANDARD,Seattle,WA,King County,America/Los_Angeles,"206,253,425",47.49,-122.25,24260
98188,STANDARD,Seattle,WA,King County,America/Los_Angeles,"425,206,253",47.44,-122.28,24360
98198,STANDARD,Seattle,WA,King County,America/Los_Angeles,"206,253",47.38,-122.31,34610
98199,STANDARD,Seattle,WA,King County,America/Los_Angeles,206,47.65,-122.4,20960
98201,STANDARD,Everett,WA,Snohomish County,America/Los_Angeles,425,47.98,-122.2,23720
98203,STANDARD,Everett,WA,Snohomish County,America/Los_Angeles,425,47.94,-122.24,33000
98204,STANDARD,Everett,WA,Snohomish County,America/Los_Angeles,425,47.89,-122.25,37360
98205,STANDARD,Everett,WA,Snohomish County,America/Los_Angeles,425,47.99,-122.15,14630
98208,STANDARD,Everett,WA,Snohomish County,America/Los_Angeles,425,47.9,-122.18,55520
98220,STANDARD,Acme,WA,Whatcom County,America/Los_Angeles,360,48.7,-122.19,600
98221,STANDARD,Anacortes,WA,Skagit County,America/Los_Angeles,360,48.46,-122.6,21810
98222,STANDARD,Blakely Island,WA,San Juan County,America/Los_Angeles,360,48.56,-122.8,20
98223,STANDARD,Arlington,WA,Snohomish County,America/Los_Angeles,360,48.18,-121.67,41760
98225,STANDARD,Bellingham,WA,Whatcom County,America/Los_Angeles,360,48.73,-122.48,32250
98226,STANDARD,Bellingham,WA,Whatcom County,America/Los_Angeles,360,48.79,-122.41,41000
98229,STANDARD,Bellingham,WA,Whatcom County,America/Los_Angeles,360,48.68,-122.41,28940
98230,STANDARD,Blaine,WA,Whatcom County,America/Los_Angeles,360,48.93,-122.72,16950
98232,STANDARD,Bow,WA,Skagit County,America/Los_Angeles,360,48.56,-122.44,3860
98233,STANDARD,Burlington,WA,Skagit County,America/Los_Angeles,360,48.53,-122.31,15240
98236,STANDARD,Clinton,WA,Island County,America/Los_Angeles,360,47.95,-122.41,5540
98237,STANDARD,Concrete,WA,Skagit County,America/Los_Angeles,360,48.56,-121.77,3390
98239,STANDARD,Coupeville,WA,Island County,America/Los_Angeles,360,48.18,-122.66,6840
98240,STANDARD,Custer,WA,Whatcom County,America/Los_Angeles,360,48.94,-122.62,3060
98241,STANDARD,Darrington,WA,Snohomish County,America/Los_Angeles,360,48.19,-121.21,2090
98244,STANDARD,Deming,WA,Whatcom County,America/Los_Angeles,360,48.8,-122.06,2510
